

found following options.

0.000724558 [ 0 3 2 0 # 3 1 0 0 2 1 0 1 2 1 0 0 2 1 0 ] No of Coefs: 43 |  -44 -40 -38 -28 -24 -22 -20 -18 -16 -15 -14 -12 -10 -8 -7 -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 8 10 12 14 15 16 18 20 22 24 28 38 40 44
0.00152653 [ 0 1 3 1 # 3 1 0 0 2 1 0 2 3 2 1 1 2 1 0 ] No of Coefs: 45 |  -64 -56 -52 -48 -40 -36 -32 -28 -24 -22 -20 -16 -14 -12 -10 -8 -7 -6 -4 -3 -2 -1 0 1 2 3 4 6 7 8 10 12 14 16 20 22 24 28 32 36 40 48 52 56 64
0.00152653 [ 0 0 3 1 # 3 1 0 0 2 1 0 2 3 2 1 1 2 1 0 ] No of Coefs: 47 |  -64 -56 -52 -48 -40 -36 -32 -28 -24 -22 -20 -16 -14 -12 -10 -8 -7 -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 8 10 12 14 16 20 22 24 28 32 36 40 48 52 56 64
0.00152653 [ 0 0 1 1 # 3 1 0 0 2 1 0 2 3 2 1 1 2 1 0 ] No of Coefs: 49 |  -64 -56 -52 -48 -40 -36 -32 -28 -24 -22 -20 -16 -14 -12 -11 -10 -8 -7 -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 8 10 11 12 14 16 20 22 24 28 32 36 40 48 52 56 64
0 [ 0 3 1 1 # 3 1 0 1 2 1 0 0 3 2 1 1 2 1 0 ] No of Coefs: 50 |  -76 -60 -52 -44 -40 -36 -34 -28 -26 -24 -22 -20 -18 -16 -14 -13 -12 -11 -10 -8 -6 -5 -4 -2 -1 1 2 4 5 6 8 10 11 12 13 14 16 18 20 22 24 26 28 34 36 40 44 52 60 76
0.00194155 [ 0 2 1 1 # 3 1 0 1 2 1 0 1 3 2 1 1 2 1 0 ] No of Coefs: 51 |  -80 -64 -56 -48 -44 -40 -38 -36 -32 -28 -24 -22 -20 -18 -16 -15 -14 -12 -10 -9 -8 -7 -6 -4 -3 0 3 4 6 7 8 9 10 12 14 15 16 18 20 22 24 28 32 36 38 40 44 48 56 64 80
0 [ 0 2 3 1 # 1 1 0 0 2 1 0 2 3 2 1 1 2 1 0 ] No of Coefs: 52 |  -70 -62 -58 -54 -46 -42 -38 -34 -30 -28 -26 -22 -20 -18 -16 -14 -13 -12 -10 -9 -8 -7 -6 -5 -4 -2 2 4 5 6 7 8 9 10 12 13 14 16 18 20 22 26 28 30 34 38 42 46 54 58 62 70
0.00194155 [ 0 1 0 1 # 3 1 0 1 2 1 0 1 3 1 0 1 2 1 0 ] No of Coefs: 53 |  -80 -64 -56 -52 -48 -44 -40 -38 -36 -32 -28 -24 -22 -20 -18 -16 -15 -14 -12 -10 -8 -6 -4 -3 -2 -1 0 1 2 3 4 6 8 10 12 14 15 16 18 20 22 24 28 32 36 38 40 44 48 52 56 64 80
0 [ 0 1 3 1 # 0 1 0 0 2 1 0 2 3 2 1 1 2 1 0 ] No of Coefs: 54 |  -71 -63 -59 -55 -47 -43 -39 -35 -31 -29 -27 -23 -21 -19 -17 -15 -14 -13 -11 -10 -9 -8 -7 -6 -5 -3 -1 1 3 5 6 7 8 9 10 11 13 14 15 17 19 21 23 27 29 31 35 39 43 47 55 59 63 71
0.00236365 [ 0 3 2 0 # 3 2 0 0 2 1 0 1 2 1 0 0 2 1 0 ] No of Coefs: 55 |  -96 -88 -84 -64 -56 -52 -48 -44 -40 -36 -32 -28 -24 -20 -18 -16 -15 -12 -10 -8 -7 -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 8 10 12 15 16 18 20 24 28 32 36 40 44 48 52 56 64 84 88 96
0 [ 0 0 1 1 # 0 1 0 0 2 1 0 2 3 2 1 1 2 1 0 ] No of Coefs: 56 |  -71 -63 -59 -55 -47 -43 -39 -35 -31 -29 -27 -23 -21 -19 -17 -15 -14 -13 -11 -10 -9 -8 -7 -5 -4 -3 -2 -1 1 2 3 4 5 7 8 9 10 11 13 14 15 17 19 21 23 27 29 31 35 39 43 47 55 59 63 71
0.00279183 [ 0 2 1 1 # 3 2 0 1 2 1 0 1 3 2 1 1 2 1 0 ] No of Coefs: 57 |  -168 -136 -120 -104 -96 -88 -84 -72 -64 -56 -52 -48 -40 -36 -28 -24 -20 -18 -16 -15 -12 -10 -9 -8 -7 -6 -4 -3 0 3 4 6 7 8 9 10 12 15 16 18 20 24 28 36 40 48 52 56 64 72 84 88 96 104 120 136 168
0 [ 0 0 2 0 # 0 1 0 0 2 1 0 2 3 2 1 1 3 2 1 ] No of Coefs: 58 |  -103 -95 -91 -71 -63 -59 -55 -51 -47 -45 -43 -39 -35 -31 -29 -27 -25 -23 -21 -19 -17 -15 -13 -11 -9 -7 -5 -3 -1 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 35 39 43 45 47 51 55 59 63 71 91 95 103
